row_id,shape_name,shape_code,suburb_name,state_short,state_long
1,Abbotsbury,10001,Abbotsbury,NSW,New South Wales
2,Abbotsford (NSW),10002,Abbotsford ,NSW,New South Wales
3,Abercrombie,10003,Abercrombie,NSW,New South Wales
4,Aberdare,10004,Aberdare,NSW,New South Wales
5,Aberdeen (NSW),10005,Aberdeen ,NSW,New South Wales
6,Aberfoyle,10006,Aberfoyle,NSW,New South Wales
7,Aberglasslyn,10007,Aberglasslyn,NSW,New South Wales
8,Abermain,10008,Abermain,NSW,New South Wales
9,Abernethy,10009,Abernethy,NSW,New South Wales
10,Acacia Gardens,10010,Acacia Gardens,NSW,New South Wales
11,Adaminaby,10011,Adaminaby,NSW,New South Wales
12,Adamstown,10012,Adamstown,NSW,New South Wales
13,Adamstown Heights,10013,Adamstown Heights,NSW,New South Wales
14,Adelong,10014,Adelong,NSW,New South Wales
15,Agnes Banks,10015,Agnes Banks,NSW,New South Wales
16,Airds,10016,Airds,NSW,New South Wales
17,Akolele,10017,Akolele,NSW,New South Wales
18,Albion Park,10018,Albion Park,NSW,New South Wales
19,Albion Park Rail,10019,Albion Park Rail,NSW,New South Wales
20,Albury,10020,Albury,NSW,New South Wales
21,Aldavilla,10021,Aldavilla,NSW,New South Wales
22,Alexandria,10022,Alexandria,NSW,New South Wales
23,Alfords Point,10023,Alfords Point,NSW,New South Wales
24,Alison (Dungog - NSW),10024,Alison ,NSW,New South Wales
25,Allambie Heights,10025,Allambie Heights,NSW,New South Wales
26,Allandale (NSW),10026,Allandale ,NSW,New South Wales
27,Allawah,10027,Allawah,NSW,New South Wales
28,Allgomera,10028,Allgomera,NSW,New South Wales
29,Allworth,10029,Allworth,NSW,New South Wales
30,Allynbrook,10030,Allynbrook,NSW,New South Wales
31,Alstonvale,10031,Alstonvale,NSW,New South Wales
32,Alstonville,10032,Alstonville,NSW,New South Wales
33,Alumy Creek,10033,Alumy Creek,NSW,New South Wales
34,Ambarvale,10034,Ambarvale,NSW,New South Wales
35,Angledale,10035,Angledale,NSW,New South Wales
36,Anglers Reach,10036,Anglers Reach,NSW,New South Wales
37,Angourie,10037,Angourie,NSW,New South Wales
38,Anna Bay,10038,Anna Bay,NSW,New South Wales
39,Annandale (NSW),10039,Annandale ,NSW,New South Wales
40,Annangrove,10040,Annangrove,NSW,New South Wales
41,Appin (NSW),10041,Appin ,NSW,New South Wales
42,Apsley (NSW),10042,Apsley ,NSW,New South Wales
43,Arakoon,10043,Arakoon,NSW,New South Wales
44,Araluen (NSW),10044,Araluen ,NSW,New South Wales
45,Arcadia (NSW),10045,Arcadia ,NSW,New South Wales
46,Arcadia Vale,10046,Arcadia Vale,NSW,New South Wales
47,Arding,10047,Arding,NSW,New South Wales
48,Ardlethan,10048,Ardlethan,NSW,New South Wales
49,Argenton,10049,Argenton,NSW,New South Wales
50,Argents Hill,10050,Argents Hill,NSW,New South Wales
51,Ariah Park,10051,Ariah Park,NSW,New South Wales
52,Armatree,10052,Armatree,NSW,New South Wales
53,Armidale,10053,Armidale,NSW,New South Wales
54,Arncliffe,10054,Arncliffe,NSW,New South Wales
55,Arndell Park,10055,Arndell Park,NSW,New South Wales
56,Arrawarra,10056,Arrawarra,NSW,New South Wales
57,Arrawarra Headland,10057,Arrawarra Headland,NSW,New South Wales
58,Artarmon,10058,Artarmon,NSW,New South Wales
59,Ashbury,10059,Ashbury,NSW,New South Wales
60,Ashby (NSW),10060,Ashby ,NSW,New South Wales
61,Ashby Heights,10061,Ashby Heights,NSW,New South Wales
62,Ashcroft,10062,Ashcroft,NSW,New South Wales
63,Ashfield (NSW),10063,Ashfield ,NSW,New South Wales
64,Ashford (NSW),10064,Ashford ,NSW,New South Wales
65,Ashley,10065,Ashley,NSW,New South Wales
66,Ashmont,10066,Ashmont,NSW,New South Wales
67,Ashtonfield,10067,Ashtonfield,NSW,New South Wales
68,Asquith,10068,Asquith,NSW,New South Wales
69,Attunga,10069,Attunga,NSW,New South Wales
70,Auburn (NSW),10070,Auburn ,NSW,New South Wales
71,Austinmer,10071,Austinmer,NSW,New South Wales
72,Austral,10072,Austral,NSW,New South Wales
73,Avalon (NSW),10073,Avalon ,NSW,New South Wales
74,Avoca Beach,10074,Avoca Beach,NSW,New South Wales
75,Awaba,10075,Awaba,NSW,New South Wales
76,Aylmerton,10076,Aylmerton,NSW,New South Wales
77,Baan Baa,10077,Baan Baa,NSW,New South Wales
78,Backmede,10078,Backmede,NSW,New South Wales
79,Badgerys Creek,10079,Badgerys Creek,NSW,New South Wales
80,Balaclava (NSW),10080,Balaclava ,NSW,New South Wales
81,Balala,10081,Balala,NSW,New South Wales
82,Balcolyn,10082,Balcolyn,NSW,New South Wales
83,Bald Hills (NSW),10083,Bald Hills ,NSW,New South Wales
84,Balgowlah,10084,Balgowlah,NSW,New South Wales
85,Balgowlah Heights,10085,Balgowlah Heights,NSW,New South Wales
86,Balgownie,10086,Balgownie,NSW,New South Wales
87,Balladoran,10087,Balladoran,NSW,New South Wales
88,Ballimore,10088,Ballimore,NSW,New South Wales
89,Ballina,10089,Ballina,NSW,New South Wales
90,Balmain,10090,Balmain,NSW,New South Wales
91,Balmain East,10091,Balmain East,NSW,New South Wales
92,Balmoral (Lake Macquarie - NSW),10092,Balmoral ,NSW,New South Wales
93,Balmoral (Wingecarribee - NSW),10093,Balmoral ,NSW,New South Wales
94,Balranald,10094,Balranald,NSW,New South Wales
95,Bandon Grove,10095,Bandon Grove,NSW,New South Wales
96,Bangalee (NSW),10096,Bangalee ,NSW,New South Wales
97,Bangalow,10097,Bangalow,NSW,New South Wales
98,Bangheet,10098,Bangheet,NSW,New South Wales
99,Bangor (NSW),10099,Bangor ,NSW,New South Wales
100,Banksia,10100,Banksia,NSW,New South Wales
101,Banksmeadow,10101,Banksmeadow,NSW,New South Wales
102,Bankstown,10102,Bankstown,NSW,New South Wales
103,Bankstown Aerodrome,10103,Bankstown Aerodrome,NSW,New South Wales
104,Bannaby,10104,Bannaby,NSW,New South Wales
105,Bannister (NSW),10105,Bannister ,NSW,New South Wales
106,Banora Point,10106,Banora Point,NSW,New South Wales
107,Bar Beach,10107,Bar Beach,NSW,New South Wales
108,Bar Point,10108,Bar Point,NSW,New South Wales
109,Baradine,10109,Baradine,NSW,New South Wales
110,Barangaroo,10110,Barangaroo,NSW,New South Wales
111,Barcoongere,10111,Barcoongere,NSW,New South Wales
112,Barden Ridge,10112,Barden Ridge,NSW,New South Wales
113,Bardwell Park,10113,Bardwell Park,NSW,New South Wales
114,Bardwell Valley,10114,Bardwell Valley,NSW,New South Wales
115,Barellan,10115,Barellan,NSW,New South Wales
116,Bargo,10116,Bargo,NSW,New South Wales
117,Barham,10117,Barham,NSW,New South Wales
118,Barkers Vale,10118,Barkers Vale,NSW,New South Wales
119,Barmedman,10119,Barmedman,NSW,New South Wales
120,Barnsley,10120,Barnsley,NSW,New South Wales
121,Barooga,10121,Barooga,NSW,New South Wales
122,Barraba,10122,Barraba,NSW,New South Wales
123,Barrack Heights,10123,Barrack Heights,NSW,New South Wales
124,Barrack Point,10124,Barrack Point,NSW,New South Wales
125,Barrengarry,10125,Barrengarry,NSW,New South Wales
126,Barrington (NSW),10126,Barrington ,NSW,New South Wales
127,Barry (Blayney - NSW),10127,Barry ,NSW,New South Wales
128,Basin View,10128,Basin View,NSW,New South Wales
129,Bass Hill,10129,Bass Hill,NSW,New South Wales
130,Bateau Bay,10130,Bateau Bay,NSW,New South Wales
131,Batehaven,10131,Batehaven,NSW,New South Wales
132,Batemans Bay,10132,Batemans Bay,NSW,New South Wales
133,Bathurst,10133,Bathurst,NSW,New South Wales
134,Batlow,10134,Batlow,NSW,New South Wales
135,Baulkham Hills,10135,Baulkham Hills,NSW,New South Wales
136,Baw Baw (NSW),10136,Baw Baw ,NSW,New South Wales
137,Bawley Point,10137,Bawley Point,NSW,New South Wales
