POA_CODE,State,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over
2000, NSW,698,292,260,1040,4791,6015,4661,2703,1450,1105,1040,890,780,660,449,268,158,107,40,10,0
2006, NSW,0,5,13,556,579,39,13,6,10,7,3,9,4,5,3,3,0,0,0,0,0
2007, NSW,198,105,69,704,2737,1783,1067,627,366,274,203,168,165,144,75,68,48,28,13,4,0
2008, NSW,208,100,96,974,3610,2552,1476,744,432,367,319,268,202,171,94,53,25,11,10,6,0
2009, NSW,606,341,245,277,1154,2016,2070,1446,904,687,679,651,576,497,309,177,104,49,14,0,0
2010, NSW,689,402,259,448,2160,5138,4787,3088,2324,1872,1660,1338,1097,867,581,421,309,187,82,18,0
2011, NSW,393,217,174,419,1895,3627,3402,2118,1620,1396,1190,1192,952,879,585,385,305,242,133,50,4
2015, NSW,553,343,219,220,746,1662,1633,1150,896,712,531,424,316,209,143,70,69,27,10,4,0
2016, NSW,467,257,194,272,1172,2182,1877,1200,977,895,809,716,588,520,341,358,218,137,33,3,0
2017, NSW,1034,483,312,1507,3853,4707,3862,2170,1302,1058,905,849,699,683,483,355,278,106,38,9,0
2018, NSW,998,827,770,983,1587,1748,1758,1287,1165,1075,952,794,730,675,565,504,334,198,69,12,0
2019, NSW,807,764,659,552,696,762,854,897,956,793,755,568,472,390,304,242,167,113,61,7,0
2020, NSW,860,610,484,838,1556,2183,1886,1354,968,783,735,657,539,391,302,270,195,93,35,12,0
2021, NSW,806,674,524,441,1010,1943,1877,1522,1170,1060,922,769,633,648,568,354,190,129,58,11,0
2022, NSW,739,615,481,460,780,1441,1383,1192,900,822,659,631,512,514,411,356,296,184,96,21,3
2023, NSW,574,679,685,669,624,830,900,780,770,769,666,618,539,599,394,249,181,100,65,22,6
2024, NSW,695,727,604,502,466,788,1043,994,893,855,745,562,454,453,327,268,245,216,172,55,4
2025, NSW,422,387,287,250,366,626,661,588,506,464,457,408,384,470,351,303,196,156,87,31,4
2026, NSW,1936,1564,1169,938,1891,4575,5100,3448,2614,2129,1549,1278,1045,1082,674,601,401,308,150,34,0
2027, NSW,325,277,296,297,322,755,750,594,466,484,464,486,531,565,534,381,258,220,152,36,0
2028, NSW,221,156,154,156,243,532,547,360,290,251,215,267,236,301,225,193,128,88,54,20,3
2029, NSW,609,623,562,488,494,676,899,852,828,628,600,471,451,505,434,283,244,168,103,30,0
2030, NSW,811,1072,1101,1032,818,605,638,829,1045,1113,1050,921,779,709,542,364,266,208,142,25,10
2031, NSW,2184,1894,1435,1363,2631,3744,3972,3268,2696,2328,1923,1708,1395,1204,936,695,514,489,259,86,16
2032, NSW,622,693,583,1284,3543,2083,1163,900,903,834,779,673,621,561,427,405,309,216,90,11,0
2033, NSW,540,514,411,768,1712,1510,1133,899,677,589,587,472,355,390,296,259,217,160,58,20,0
2034, NSW,1269,1067,912,806,1233,2218,2449,2019,1617,1445,1245,1030,929,787,597,430,310,240,94,18,0
2035, NSW,1944,1966,1790,1895,2803,2710,2659,2612,2495,2298,2091,1926,1659,1478,1294,1051,850,621,278,55,4
2036, NSW,1694,1795,1628,1802,1994,2043,2117,2164,2287,2217,2170,1825,1666,1557,1242,860,633,452,194,62,3
2037, NSW,632,497,423,708,2007,2263,1806,1251,1078,937,879,902,806,748,505,295,185,123,48,17,0
2038, NSW,626,551,394,351,641,804,883,911,869,736,631,523,485,415,241,164,116,76,31,4,0
2039, NSW,628,546,337,252,376,649,936,972,875,717,565,491,484,399,251,127,62,36,10,4,0
2040, NSW,1836,1542,1088,724,1241,1489,1918,2196,2144,1838,1437,1163,1020,843,613,407,345,234,127,34,0
2041, NSW,1036,951,747,522,664,975,1214,1366,1433,1288,1239,1017,982,901,652,325,199,110,50,11,0
2042, NSW,821,638,469,627,2009,3234,2551,1878,1612,1316,1100,875,677,485,305,219,174,101,26,7,0
2043, NSW,423,293,174,178,536,1247,1321,1011,765,615,471,363,239,162,88,67,41,24,11,0,0
2044, NSW,483,385,302,277,618,791,902,777,668,590,474,409,369,273,174,138,100,66,29,6,0
2045, NSW,293,438,476,384,354,296,262,335,469,530,548,438,367,302,236,219,238,171,85,13,4
2046, NSW,1729,1701,1359,1169,1203,1426,1996,2170,2270,2076,1853,1686,1452,1377,998,866,690,529,217,49,3
2047, NSW,725,642,540,469,521,867,1143,1005,943,829,792,697,618,645,508,318,295,229,110,47,0
2048, NSW,417,389,311,263,624,1045,905,711,694,563,481,376,284,290,205,170,122,66,21,10,0
2049, NSW,567,536,438,460,822,1276,1269,1027,948,868,709,623,515,417,293,217,143,118,32,10,0
2050, NSW,344,212,126,330,1421,1533,1307,945,701,501,427,347,255,217,120,80,65,34,8,8,0
2052, NSW,11,4,0,912,1919,342,111,43,23,15,9,14,10,7,4,4,0,0,0,0,0
2060, NSW,587,450,384,488,813,1786,1856,1370,945,916,766,760,728,715,555,369,217,168,73,24,4
2061, NSW,212,123,108,100,315,680,744,539,396,346,373,431,392,391,317,242,128,70,38,9,0
2062, NSW,540,455,286,184,312,527,737,701,655,524,407,421,344,339,254,153,79,52,23,10,0
2063, NSW,356,544,527,433,283,196,237,385,475,497,519,385,345,349,256,173,141,133,95,14,9
2064, NSW,627,683,520,408,522,864,1086,975,828,644,526,464,408,350,206,156,123,89,46,5,0
2065, NSW,2070,1357,968,932,1610,3223,4071,3299,2492,1955,1659,1554,1343,1264,885,569,426,279,128,27,6
2066, NSW,2156,2014,1917,1700,1724,2449,2880,2698,2453,2167,1949,1738,1465,1285,1004,733,537,426,263,59,5
2067, NSW,1652,1532,1146,1476,2165,2476,2628,2361,1942,1674,1450,1285,1153,1094,735,565,501,330,188,37,0
2068, NSW,1183,1437,1294,1002,778,566,841,1209,1498,1470,1217,1022,839,787,547,403,334,247,107,26,5
2069, NSW,796,1147,1126,1018,788,620,693,871,1075,1143,1046,859,776,683,553,395,296,219,118,27,4
2070, NSW,723,1028,1073,993,792,531,680,812,935,1087,1011,864,702,639,495,417,323,225,134,36,0
2071, NSW,622,906,1029,1177,894,617,616,757,897,1073,1087,878,679,658,478,391,323,265,151,43,0
2072, NSW,358,468,553,631,464,392,446,470,537,614,570,496,442,325,286,213,134,137,92,31,5
2073, NSW,925,1352,1354,1335,930,562,709,959,1211,1410,1340,1033,815,792,582,389,300,225,101,25,0
2074, NSW,1078,1576,1660,1614,1129,701,820,1196,1534,1771,1627,1382,1116,1117,1031,883,787,713,389,119,0
2075, NSW,1164,1601,1514,1399,1007,670,884,1278,1532,1583,1509,1251,1069,991,975,807,619,408,166,23,5
2076, NSW,1252,1649,2002,2182,1347,920,1038,1388,1691,1926,1851,1539,1288,1192,998,827,685,502,291,78,4
2077, NSW,2727,2630,2048,1886,2012,2599,3481,3530,3232,2618,2237,2048,1819,1599,1119,864,614,438,235,60,0
2079, NSW,420,532,519,449,458,366,369,453,570,544,569,588,417,269,215,164,83,65,29,6,0
2080, NSW,106,142,113,118,95,57,80,108,149,136,123,143,80,99,64,36,18,20,5,3,0
2081, NSW,350,419,399,417,306,206,271,321,443,461,452,387,273,246,186,123,67,33,15,0,0
2082, NSW,388,434,423,355,228,179,240,383,507,440,384,328,322,314,231,108,71,41,14,5,0
2083, NSW,54,78,83,87,67,64,50,75,88,120,147,158,121,119,97,61,27,8,8,0,0
2084, NSW,181,250,275,274,175,123,136,176,262,321,301,252,197,203,188,122,68,61,34,13,0
2085, NSW,584,888,815,808,543,324,362,566,914,901,821,597,587,704,735,539,417,293,174,55,0
2086, NSW,886,1157,1105,951,706,437,524,812,1194,1196,1000,735,643,580,582,434,260,142,49,4,0
2087, NSW,686,1175,1089,946,553,350,425,730,1142,1059,946,705,572,524,545,542,402,273,105,32,0
2088, NSW,1488,1779,1742,1573,1280,1518,1892,1928,2160,2185,2082,1857,1533,1605,1396,903,640,516,288,96,8
2089, NSW,653,501,345,301,598,1424,1550,1319,1006,769,626,600,573,520,386,275,173,143,117,30,0
2090, NSW,853,646,507,423,561,1198,1542,1288,1106,931,837,765,808,832,592,377,235,140,66,7,3
2092, NSW,475,698,640,480,378,223,226,430,689,634,557,466,340,275,238,165,92,78,54,3,3
2093, NSW,1662,1945,1688,1267,1006,1082,1403,1746,2044,1947,1665,1312,1029,939,726,510,377,326,156,43,0
2094, NSW,404,346,280,235,215,449,581,535,486,398,381,377,270,287,220,158,95,77,33,6,0
2095, NSW,855,703,496,540,813,1759,2072,1629,1200,1010,915,831,711,681,619,364,292,219,105,42,0
2096, NSW,1029,982,858,661,683,1196,1594,1390,1307,1153,925,750,630,532,357,240,158,132,62,11,0
2097, NSW,938,1107,1076,1048,814,845,971,1041,1214,1230,1100,935,791,699,593,416,282,252,136,31,0
2099, NSW,2677,2506,2204,2076,2215,2719,3354,3284,3224,3068,2678,2269,1889,1651,1346,1084,774,581,250,73,3
2100, NSW,1379,1628,1385,1310,1120,1041,1198,1500,1722,1687,1457,1291,1005,905,703,583,464,333,162,30,0
2101, NSW,1269,1192,1103,903,893,1094,1235,1400,1469,1359,1301,1183,1015,1027,777,659,535,498,375,121,4
2102, NSW,554,640,512,445,382,285,440,550,668,572,499,401,356,330,270,217,165,116,70,16,5
2103, NSW,570,714,607,599,547,454,509,663,736,704,741,709,711,677,558,425,341,230,146,28,0
2104, NSW,115,177,193,170,158,97,95,112,181,201,222,237,275,308,321,264,182,167,110,33,3
2105, NSW,62,103,128,105,75,34,48,68,117,157,187,189,160,158,118,82,32,19,3,4,0
2106, NSW,498,613,637,580,538,456,386,475,669,720,809,754,621,557,441,257,149,101,48,7,0
2107, NSW,793,1081,1052,953,671,460,479,722,1000,1132,1223,1209,1084,945,738,471,313,224,100,34,0
2108, NSW,53,66,73,63,80,64,36,44,77,96,124,135,175,199,185,101,53,27,15,5,0
2109, NSW,101,53,30,411,923,482,358,180,92,54,39,54,36,44,31,40,45,58,53,13,0
2110, NSW,510,701,807,992,493,364,423,495,698,770,687,623,552,588,427,331,251,333,250,63,6
2111, NSW,883,874,817,720,776,868,1023,1070,1200,1098,1005,862,763,738,553,437,329,257,114,30,0
2112, NSW,2079,1936,1722,1811,2322,2788,2837,2590,2252,2213,2094,1839,1577,1397,982,831,728,563,243,46,4
2113, NSW,1174,1055,927,895,1338,1453,1632,1527,1313,1205,1180,1098,948,731,511,523,397,303,128,24,0
2114, NSW,1601,1336,1039,1120,1598,2470,2728,2155,1703,1450,1446,1370,1182,982,657,518,356,234,98,19,0
2115, NSW,871,704,615,614,636,712,867,836,774,718,702,622,603,505,304,247,184,155,70,23,0
2116, NSW,451,444,396,439,395,422,493,471,513,512,501,454,299,255,213,153,110,89,24,4,0
2117, NSW,1386,1431,1194,1338,1314,1438,1712,1528,1558,1502,1565,1375,1141,882,643,563,414,227,78,18,0
2118, NSW,1501,1666,1407,1670,1506,1383,1634,1715,1688,1666,1684,1564,1365,1179,922,749,534,328,148,41,4
2119, NSW,536,827,860,854,770,412,416,585,807,864,905,812,744,618,547,424,308,209,119,37,0
2120, NSW,1223,1437,1338,1473,1223,816,1006,1364,1571,1601,1472,1336,1125,1013,791,653,388,251,99,31,3
2121, NSW,1527,1768,1635,1923,2272,2107,1948,1966,1947,1820,1957,1831,1601,1221,830,703,556,380,169,44,5
2122, NSW,1720,1587,1252,1607,3231,3025,2643,2213,1868,1777,1941,1761,1710,1349,1038,819,690,559,303,73,8
2123, NSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125, NSW,884,1087,1058,1206,1101,790,812,960,1058,1116,1256,1291,1235,952,678,393,225,174,79,18,0
2126, NSW,766,1189,1475,1594,1278,825,738,956,1370,1498,1536,1421,1216,987,671,467,333,253,155,42,0
2127, NSW,1173,781,510,464,920,1913,2495,1648,1127,866,739,618,526,364,200,92,57,28,19,0,0
2128, NSW,216,153,118,146,406,584,635,582,393,299,200,168,103,77,42,22,10,7,0,0,0
2129, NSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130, NSW,416,429,283,274,464,777,810,707,626,518,495,382,330,277,163,104,103,69,47,22,0
2131, NSW,1247,916,783,990,2218,3248,2746,1875,1505,1352,1362,1213,1060,860,660,586,523,394,222,84,3
2132, NSW,516,630,611,640,693,815,652,709,754,729,744,701,558,468,384,357,318,189,107,23,3
2133, NSW,647,719,649,677,682,728,767,775,888,836,813,611,582,546,374,302,214,154,47,15,0
2134, NSW,650,477,441,867,2639,2675,1582,966,742,756,863,804,644,522,367,341,319,235,100,37,0
2135, NSW,1071,1026,1098,1584,2951,3429,2440,1607,1253,1404,1503,1374,1086,891,722,604,518,399,224,53,3
2136, NSW,422,402,430,486,573,555,560,484,500,490,522,489,358,317,265,197,166,115,42,9,0
2137, NSW,1523,1550,1404,1407,1669,1920,2093,1855,1904,1906,1785,1712,1419,1321,1016,830,554,384,203,40,9
2138, NSW,1372,868,687,845,2399,3228,2780,1704,1195,885,916,832,735,564,386,246,193,118,59,8,0
2139, NSW,0,0,0,0,6,4,7,0,8,5,5,4,12,3,0,0,0,4,0,0,0
2140, NSW,1135,718,589,779,1622,2738,2550,1435,936,771,757,638,541,309,219,189,123,70,24,4,0
2141, NSW,1787,1459,1234,1622,2612,3412,2883,2101,1735,1742,1814,1834,1458,1036,647,520,395,241,119,26,3
2142, NSW,2236,1663,1370,1313,2214,3301,3241,2251,1653,1358,1304,1168,1001,808,546,386,270,138,54,9,0
2143, NSW,600,616,560,580,704,752,701,566,521,562,594,608,487,380,232,191,137,93,41,11,0
2144, NSW,2884,2384,1984,2204,3818,5191,3977,2680,2007,1994,1983,1739,1329,990,743,593,393,283,169,30,4
2145, NSW,6505,6036,4440,3867,4556,5975,8241,7615,5680,4564,4207,3868,3383,3287,2404,1855,1318,881,443,95,12
2146, NSW,1267,1243,1051,988,1075,1247,1642,1447,1267,1132,986,983,845,777,614,440,268,130,56,11,0
2147, NSW,2545,2446,2134,2281,2191,2506,2693,2757,2512,2415,2307,2270,2108,1862,1243,827,684,377,157,33,5
2148, NSW,4914,4311,3656,3806,4346,5267,6003,5045,4167,3645,3605,3372,3019,2428,1773,1478,1088,693,370,72,4
2150, NSW,2829,1536,844,890,2471,5082,6008,3576,1742,1266,1177,1084,942,681,440,356,262,177,100,26,3
2151, NSW,1473,1327,1175,1207,1192,1475,1978,1870,1649,1331,1333,1213,1063,941,747,493,348,274,167,60,3
2152, NSW,841,712,563,494,525,886,1074,936,835,717,592,530,487,501,423,398,320,234,117,23,0
2153, NSW,3860,4381,3702,3448,3246,2798,3615,4446,4504,4057,3607,3259,2944,2934,2355,1507,953,606,284,54,4
2154, NSW,2171,2804,2738,2743,2365,1808,2047,2609,2880,2794,2760,2573,2311,2167,1595,1089,835,743,415,130,5
2155, NSW,4208,5135,4960,4217,3263,2747,3647,4692,5324,4536,3438,2830,2233,1723,1182,686,387,166,61,13,0
2156, NSW,574,847,989,976,832,580,432,610,819,973,938,923,819,803,671,493,343,217,73,18,0
2157, NSW,205,251,282,291,237,171,159,200,240,300,311,272,234,229,133,106,60,39,16,0,0
2158, NSW,400,567,599,675,590,363,313,395,568,673,712,569,492,517,406,283,203,151,84,29,0
2159, NSW,233,326,385,336,283,204,204,214,348,380,368,370,298,289,245,184,126,107,58,17,3
2160, NSW,2870,2488,2142,2219,2905,3374,3338,2640,2180,2113,2123,1838,1524,1260,956,746,606,430,169,41,3
2161, NSW,2801,2518,2099,2057,2605,2863,2695,2185,1795,1736,1724,1612,1348,1015,720,619,433,372,193,40,3
2162, NSW,1361,1387,1369,1395,1349,1233,1248,1104,1114,1233,1248,1156,920,748,501,401,377,328,128,33,0
2163, NSW,626,646,597,638,711,761,652,647,635,646,603,603,536,416,255,222,157,149,75,16,0
2164, NSW,1286,1362,1208,1279,1348,1349,1266,1216,1293,1220,1209,1249,1157,1047,706,631,471,227,92,14,0
2165, NSW,2747,2847,2841,2924,3145,3101,2983,2738,2791,2910,2825,2622,2191,1769,1403,1125,779,494,171,26,6
2166, NSW,3286,3231,3339,3857,4297,3819,3584,3125,3522,3811,3734,3587,2805,2127,1405,1151,981,709,299,84,5
2167, NSW,816,697,583,567,605,648,873,844,686,605,560,534,457,346,238,178,153,142,89,17,0
2168, NSW,2961,3319,3460,3631,3414,2834,2785,2743,2738,2860,3175,2866,2138,1499,1119,945,583,282,72,27,0
2170, NSW,8261,7908,7121,6876,7220,7605,8281,7883,7414,6817,6453,5916,4861,4247,3037,2365,1603,1068,425,95,6
2171, NSW,2866,2991,3004,2783,2353,2337,2819,2818,2856,2548,2300,1754,1290,940,552,326,215,80,24,7,0
2172, NSW,193,210,217,204,176,175,168,189,237,256,228,178,128,99,67,31,17,3,3,0,0
2173, NSW,1214,1110,1034,1154,1161,1072,1228,1173,1173,1084,991,751,470,316,226,134,86,40,10,3,0
2174, NSW,255,203,157,159,138,185,237,244,194,113,113,84,57,45,21,24,22,9,4,0,0
2175, NSW,96,91,133,124,124,110,102,100,132,134,121,124,112,95,96,71,60,26,6,0,0
2176, NSW,2545,2833,3151,3468,3666,3322,2854,2673,2897,3173,3397,3684,3202,2559,1627,1229,786,511,189,27,3
2177, NSW,859,1117,1123,1225,1310,1078,1064,966,1013,1094,1155,1161,995,690,445,293,186,138,52,21,0
2178, NSW,203,255,289,357,359,239,199,216,282,327,278,269,262,243,149,118,96,53,29,7,0
2179, NSW,432,413,397,403,450,440,441,409,366,446,411,340,356,327,296,235,162,131,57,13,0
2190, NSW,1883,2186,2083,1996,1921,1634,1677,1602,1521,1537,1575,1410,1186,972,726,627,462,341,176,34,5
