"","suburb","state","blurb"
"1","Cohuna","VIC","Cohuna /koʊˈhuːnə/[2] is a town situated 274 kilometres (170 mi) north of Melbourne, on the Murray Valley Highway, in northern Victoria, Australia. At the 2011 census, Cohuna had a population of 2,313.[1]"
"2","Camperdown","VIC","Camperdown /ˈkæmpədaʊn/[2] is a historically significant rural town in southwestern Victoria, Australia, 190 kilometres (120 mi) west of the state capital, Melbourne. At the 2011 census, Camperdown had a population of 2,938.[1]"
"3","Benalla","VIC","Benalla /bəˈnælə/[2] is a small city located on the Broken River in the High Country north-eastern region of Victoria, Australia, about 212 kilometres (130 mi) north east of the state capital Melbourne. At the 2011 census the population was just under 14,000 with 9,328 in the CBD.[1]"
"4","Mount Hotham","VIC","Mount Hotham is a mountain in the Victorian Alps of the Great Dividing Range, located in the Australian state of Victoria. The mountain is located approximately 357 kilometres (222 mi) north east of Melbourne, 746 kilometres (464 mi) from Sydney, and 997 kilometres (620 mi) from Adelaide by road. The nearest major road to mountain is the Great Alpine Road."
"5","Corryong","VIC","Corryong is a small town in Victoria, Australia 120 kilometres (75 mi) east of Albury-Wodonga, near the upper reaches of the Murray River and close to the New South Wales border. At the 2016 census, Corryong had a population of 1,348.[1]"
"6","Eagle Point","VIC","Eagle Point is a small town in Victoria, Australia within the Shire of East Gippsland on the Gippsland lakes, mostly on Lake King. It is known for its bushland and tourism. The top of the red limestone cliff by the Mitchell River offers unparalleled vista of the East Gippsland low country and Mitchell_River_silt_jetties, stretching out for miles. Eagle Point is a place associated with the Bushy Park massacres of local Gunai Aboriginal people. 1840-41, Angus McMillan and his men killed an unknown number of Gunai people in skirmishes during “the defence of Bushy Park”.[2] Afterwards, in the mid to late 1840s, Eagle Point was the headquarters for the Border Police under Commissioner Tyers. This force in conjunction with the Native Police force based at nearby Boisdale conducted regular punitive raids upon Gunai camps across the region.[3]"
"7","Leongatha","VIC","Leongatha /ˈliːɒnɡæθə/ is a town in the foothills of the Strzelecki Ranges, South Gippsland Shire, Victoria, Australia, located 135 kilometres (84 mi) south-east of Melbourne. The town is the civic, commercial, industrial, religious, educational and sporting centre of the region.[clarification needed][2] At the 2016 census, Leongatha had a population of 5,119.[1]"
"8","Balwyn","VIC","Balwyn (/ˈbɔːlwərn/) is a suburb of Melbourne, Victoria, Australia, 10 km east of Melbourne's Central Business District. Its local government area is the City of Boroondara. At the 2011 Census, Balwyn had a population of 12,944."
"9","Falls Creek","VIC","The Falls Creek Alpine Resort is an alpine ski resort in the Hume region in northeastern Victoria, Australia. It is located in the Alpine National Park in the Victorian Alps, approximately 350 kilometres (220 miles) by road from Melbourne, with the nearest town Mount Beauty, approximately 30 km (20 mi) away. The resort lies between an elevation of 1,210 and 1,830 m (3,970 and 6,004 ft) above sea level, with the highest lifted point at 1,780 m (5,840 ft). Skiing is possible on the nearby peak of Mount McKay at 1,842 m (6,043 ft), accessed by snowcat from the resort."
"10","Docklands","VIC","Docklands (also known as Melbourne Docklands to differentiate it from London Docklands) is an inner-western suburb of Melbourne, Victoria, Australia, 2 km (1.2 mi) from Melbourne's Central Business District. Its local government area is the City of Melbourne. At the 2016 Census, Docklands had a population of 10,964.[1] Docklands occupies an area adjacent to the Melbourne central business district (CBD), consisting of land and water totalling 200 hectares.[2] It is bounded by Wurundjeri Way and the Charles Grimes Bridge to the east, CityLink to the west and Lorimer Street across the Yarra to the south and is a primarily waterfront area centred on the banks of the Yarra River."
"11","Korumburra","VIC","Korumburra /ˌkʌrəmˈbʌrʌ/ is a town in the Australian state of Victoria. It is located on the South Gippsland Highway, 120 kilometres (75 mi) south-east of Melbourne, in the South Gippsland Shire local government area. At the 2016 census Korumburra had an urban population of 3,639.[1]"
"12","Bairnsdale","VIC","Bairnsdale (/ˈbɛərnzdeɪl/, locally [ˈbeːnzdæɪl])[3] is a city in East Gippsland, Victoria, Australia. The estimated population of Bairnsdale urban area was 14,887 at June 2016. The city is a major regional centre of eastern Victoria along with Traralgon and Sale and the commercial centre for the East Gippsland region and the seat of local government for the Shire of East Gippsland. Bairnsdale was first proclaimed a shire on 16 July 1868 [4] and it was proclaimed as a city on 14 July 1990.[5]"
"13","Spring Gully","VIC","Spring Gully is a suburb of the regional city of Bendigo in north central Victoria, Australia, 5 kilometres (3.1 mi) south of the Bendigo city centre."
"14","Shepparton","VIC","Shepparton (/ˈʃɛpərtən/)[4] is a city located on the floodplain of the Goulburn River in northern Victoria, Australia, approximately 181 kilometres (112 mi) north-northeast of Melbourne. At June 2016, the estimated urban population of Shepparton, including Mooroopna, was 50,198.[1]"
