"","POA_CODE","State","2016","2011","Change","lat","lon"
"1","2000","NSW",27411,22758,"20.44555761","-33.855601","151.20822"
"2","2006","NSW",1261,1155,"9.177489177","-33.887926","151.186923"
"3","2007","NSW",8846,7111,"24.39881873","-33.884366","151.196502"
"4","2008","NSW",11712,6296,"86.02287166","-33.886844","151.201715"
"5","2009","NSW",12813,11617,"10.29525695","-33.869709","151.19393"
"6","2010","NSW",27733,25404,"9.167847583","-33.879825","151.21956"
"7","2011","NSW",21199,18040,"17.51108647","-33.872829","151.226593"
"8","2015","NSW",9922,8427,"17.7405957","-33.897571","151.195567"
"9","2016","NSW",13213,12033,"9.806365827","-33.892778","151.203901"
"10","2017","NSW",24694,14469,"70.66832539","-33.9004","151.206144"
"11","2018","NSW",17028,15397,"10.59297266","-33.925133","151.213199"
"12","2019","NSW",10840,8900,"21.79775281","-33.95742","151.206715"
"13","2020","NSW",14771,10178,"45.12674396","-33.931189","151.19431"
"14","2021","NSW",15312,14239,"7.535641548","-33.893632","151.219357"
"15","2022","NSW",12510,11594,"7.900638261","-33.892324","151.24733"
"16","2023","NSW",10719,10765,"-0.427310729","-33.887189","151.258935"
"17","2024","NSW",11073,11078,"-0.045134501","-33.902328","151.263838"
"18","2025","NSW",7407,7182,"3.13283208","-33.885795","151.24413"
"19","2026","NSW",32489,30396,"6.885774444","-33.893739","151.262502"
"20","2027","NSW",8191,7306,"12.11333151","-33.873808","151.236683"
"21","2028","NSW",4643,4686,"-0.917626974","-33.87906","151.243095"
"22","2029","NSW",9957,9400,"5.925531915","-33.866555","151.280456"
"23","2030","NSW",14080,13914,"1.193042978","-33.874405","151.280416"
"24","2031","NSW",34729,32321,"7.450264534","-33.912639","151.262021"
"25","2032","NSW",16692,15265,"9.348182116","-33.928043","151.22513"
"26","2033","NSW",11573,10962,"5.573800401","-33.912997","151.219017"
"27","2034","NSW",20716,19092,"8.506180599","-33.920491","151.254401"
"28","2035","NSW",34496,33234,"3.797316002","-33.946123","151.242818"
"29","2036","NSW",30411,26896,"13.06885782","-33.976546","151.240248"
"30","2037","NSW",16119,13842,"16.44993498","-33.881215","151.181127"
"31","2038","NSW",9452,8669,"9.032183643","-33.881435","151.170681"
"32","2039","NSW",8726,7922,"10.14895228","-33.863063","151.170573"
"33","2040","NSW",22242,20861,"6.620008629","-33.883793","151.157057"
"34","2041","NSW",15687,14753,"6.330915746","-33.856498","151.178009"
"35","2042","NSW",19128,17720,"7.945823928","-33.899362","151.171098"
"36","2043","NSW",8014,6850,"16.99270073","-33.902234","151.186192"
"37","2044","NSW",7840,7192,"9.010011123","-33.911062","151.180126"
"38","2045","NSW",6453,6651,"-2.97699594","-33.880496","151.138839"
"39","2046","NSW",26822,25180,"6.521048451","-33.852469","151.129453"
"40","2047","NSW",11950,11378,"5.027245562","-33.851056","151.154542"
"41","2048","NSW",7940,7701,"3.103493053","-33.897351","151.16535"
"42","2049","NSW",11278,10455,"7.871831659","-33.894902","151.144413"
"43","2050","NSW",8967,6705,"33.7360179","-33.88866","151.177188"
"44","2052","NSW",3428,1810,"89.39226519","-33.906561","151.234417"
"45","2060","NSW",13987,12268,"14.01206391","-33.840633","151.19497"
"46","2061","NSW",5943,5680,"4.63028169","-33.846275","151.212705"
"47","2062","NSW",7004,6782,"3.273370687","-33.821953","151.21043"
"48","2063","NSW",6348,5931,"7.030854831","-33.815028","151.222266"
"49","2064","NSW",9525,8641,"10.23029742","-33.807664","151.189662"
"50","2065","NSW",30116,27175,"10.8224471","-33.82609","151.199192"
"51","2066","NSW",31625,27623,"14.48792673","-33.814599","151.168722"
"52","2067","NSW",26404,22621,"16.72339861","-33.795617","151.185329"
"53","2068","NSW",16811,15870,"5.929426591","-33.802403","151.212643"
"54","2069","NSW",14251,13282,"7.295588014","-33.784165","151.199948"
"55","2070","NSW",13504,12277,"9.994298281","-33.766415","151.186095"
"56","2071","NSW",13550,12160,"11.43092105","-33.753498","151.170003"
"57","2072","NSW",7666,6593,"16.27483695","-33.757349","151.155678"
"58","2073","NSW",16354,15736,"3.927300458","-33.74414","151.141103"
"59","2074","NSW",22261,20943,"6.293272215","-33.713419","151.147146"
"60","2075","NSW",20456,18644,"9.718944433","-33.730601","151.158551"
"61","2076","NSW",24653,23776,"3.68859354","-33.720999","151.097331"
"62","2077","NSW",37792,34898,"8.292738839","-33.687484","151.108685"
"63","2079","NSW",7096,7105,"-0.126671358","-33.664817","151.117161"
"64","2080","NSW",1704,1573,"8.328035601","-33.628729","151.226792"
"65","2081","NSW",5365,5166,"3.85210995","-33.623581","151.150117"
"66","2082","NSW",5399,5654,"-4.510081358","-33.610968","151.136829"
"67","2083","NSW",1514,1544,"-1.943005181","-33.507463","151.163329"
"68","2084","NSW",3625,3535,"2.545968883","-33.619578","151.203831"
"69","2085","NSW",11624,10707,"8.56449052","-33.739288","151.211439"
