POA_CODE,State,religion,count
800,NT,Buddhism,274
800,NT,Christianity,2226
800,NT,Hinduism,295
800,NT,Islam,94
800,NT,Judaism,7
800,NT,Other Religions,49
800,NT,Non/Secular Religious Affiliation,2294
810,NT,Buddhism,1142
810,NT,Christianity,15094
810,NT,Hinduism,1386
810,NT,Islam,839
810,NT,Judaism,33
810,NT,Other Religions,365
810,NT,Non/Secular Religious Affiliation,10122
812,NT,Buddhism,692
812,NT,Christianity,9404
812,NT,Hinduism,247
812,NT,Islam,318
812,NT,Judaism,9
812,NT,Other Religions,136
812,NT,Non/Secular Religious Affiliation,5667
815,NT,Buddhism,10
815,NT,Christianity,48
815,NT,Hinduism,30
815,NT,Islam,20
815,NT,Judaism,0
815,NT,Other Religions,3
815,NT,Non/Secular Religious Affiliation,57
820,NT,Buddhism,519
820,NT,Christianity,8636
820,NT,Hinduism,426
820,NT,Islam,260
820,NT,Judaism,12
820,NT,Other Religions,150
820,NT,Non/Secular Religious Affiliation,6751
822,NT,Buddhism,216
822,NT,Christianity,16234
822,NT,Hinduism,18
822,NT,Islam,16
822,NT,Judaism,4
822,NT,Other Religions,1108
822,NT,Non/Secular Religious Affiliation,4253
828,NT,Buddhism,26
828,NT,Christianity,494
828,NT,Hinduism,21
828,NT,Islam,13
828,NT,Judaism,0
828,NT,Other Religions,20
828,NT,Non/Secular Religious Affiliation,390
829,NT,Buddhism,10
829,NT,Christianity,399
829,NT,Hinduism,4
829,NT,Islam,6
829,NT,Judaism,0
829,NT,Other Religions,0
829,NT,Non/Secular Religious Affiliation,338
830,NT,Buddhism,423
830,NT,Christianity,8328
830,NT,Hinduism,221
830,NT,Islam,188
830,NT,Judaism,7
830,NT,Other Religions,92
830,NT,Non/Secular Religious Affiliation,6461
832,NT,Buddhism,280
832,NT,Christianity,7478
832,NT,Hinduism,341
832,NT,Islam,228
832,NT,Judaism,0
832,NT,Other Religions,116
832,NT,Non/Secular Religious Affiliation,5636
834,NT,Buddhism,12
834,NT,Christianity,850
834,NT,Hinduism,0
834,NT,Islam,3
834,NT,Judaism,0
834,NT,Other Religions,0
834,NT,Non/Secular Religious Affiliation,729
835,NT,Buddhism,70
835,NT,Christianity,2105
835,NT,Hinduism,14
835,NT,Islam,20
835,NT,Judaism,0
835,NT,Other Religions,11
835,NT,Non/Secular Religious Affiliation,1379
836,NT,Buddhism,131
836,NT,Christianity,3460
836,NT,Hinduism,4
836,NT,Islam,20
836,NT,Judaism,0
836,NT,Other Religions,27
836,NT,Non/Secular Religious Affiliation,3029
837,NT,Buddhism,9
837,NT,Christianity,150
837,NT,Hinduism,0
837,NT,Islam,0
837,NT,Judaism,0
837,NT,Other Religions,5
837,NT,Non/Secular Religious Affiliation,151
838,NT,Buddhism,17
838,NT,Christianity,356
838,NT,Hinduism,0
838,NT,Islam,0
838,NT,Judaism,0
838,NT,Other Religions,9
838,NT,Non/Secular Religious Affiliation,323
839,NT,Buddhism,7
839,NT,Christianity,205
839,NT,Hinduism,0
839,NT,Islam,3
839,NT,Judaism,0
839,NT,Other Religions,0
839,NT,Non/Secular Religious Affiliation,224
840,NT,Buddhism,6
840,NT,Christianity,174
840,NT,Hinduism,0
840,NT,Islam,0
840,NT,Judaism,0
840,NT,Other Religions,0
840,NT,Non/Secular Religious Affiliation,153
841,NT,Buddhism,17
841,NT,Christianity,280
841,NT,Hinduism,0
841,NT,Islam,0
841,NT,Judaism,0
841,NT,Other Religions,4
841,NT,Non/Secular Religious Affiliation,293
845,NT,Buddhism,13
845,NT,Christianity,179
845,NT,Hinduism,0
845,NT,Islam,0
845,NT,Judaism,0
845,NT,Other Religions,7
845,NT,Non/Secular Religious Affiliation,208
846,NT,Buddhism,6
846,NT,Christianity,151
846,NT,Hinduism,0
846,NT,Islam,0
846,NT,Judaism,0
846,NT,Other Religions,18
846,NT,Non/Secular Religious Affiliation,116
847,NT,Buddhism,4
847,NT,Christianity,131
847,NT,Hinduism,0
847,NT,Islam,3
847,NT,Judaism,0
847,NT,Other Religions,0
847,NT,Non/Secular Religious Affiliation,101
850,NT,Buddhism,67
850,NT,Christianity,3415
850,NT,Hinduism,72
850,NT,Islam,40
850,NT,Judaism,10
850,NT,Other Religions,82
850,NT,Non/Secular Religious Affiliation,2500
852,NT,Buddhism,25
852,NT,Christianity,2906
852,NT,Hinduism,3
852,NT,Islam,13
852,NT,Judaism,0
852,NT,Other Religions,862
852,NT,Non/Secular Religious Affiliation,2328
853,NT,Buddhism,13
853,NT,Christianity,393
853,NT,Hinduism,7
853,NT,Islam,3
853,NT,Judaism,0
853,NT,Other Religions,4
853,NT,Non/Secular Religious Affiliation,329
854,NT,Buddhism,4
854,NT,Christianity,322
854,NT,Hinduism,0
854,NT,Islam,5
854,NT,Judaism,0
854,NT,Other Religions,0
854,NT,Non/Secular Religious Affiliation,439
860,NT,Buddhism,32
860,NT,Christianity,1333
860,NT,Hinduism,21
860,NT,Islam,14
860,NT,Judaism,0
860,NT,Other Religions,148
860,NT,Non/Secular Religious Affiliation,1033
862,NT,Buddhism,3
862,NT,Christianity,428
862,NT,Hinduism,3
862,NT,Islam,0
862,NT,Judaism,0
862,NT,Other Religions,25
862,NT,Non/Secular Religious Affiliation,263
870,NT,Buddhism,347
870,NT,Christianity,8935
870,NT,Hinduism,310
870,NT,Islam,133
870,NT,Judaism,21
870,NT,Other Religions,289
870,NT,Non/Secular Religious Affiliation,6569
873,NT,Buddhism,36
873,NT,Christianity,1344
873,NT,Hinduism,7
873,NT,Islam,4
873,NT,Judaism,0
873,NT,Other Religions,29
873,NT,Non/Secular Religious Affiliation,598
874,NT,Buddhism,11
874,NT,Christianity,257
874,NT,Hinduism,6
874,NT,Islam,9
874,NT,Judaism,0
874,NT,Other Religions,0
874,NT,Non/Secular Religious Affiliation,156
875,NT,Buddhism,24
875,NT,Christianity,1055
875,NT,Hinduism,30
875,NT,Islam,14
875,NT,Judaism,0
875,NT,Other Religions,38
875,NT,Non/Secular Religious Affiliation,854
880,NT,Buddhism,30
880,NT,Christianity,2885
880,NT,Hinduism,14
880,NT,Islam,24
880,NT,Judaism,5
880,NT,Other Religions,253
880,NT,Non/Secular Religious Affiliation,1192
885,NT,Buddhism,3
885,NT,Christianity,431
885,NT,Hinduism,17
885,NT,Islam,0
885,NT,Judaism,0
885,NT,Other Religions,3
885,NT,Non/Secular Religious Affiliation,303
886,NT,Buddhism,22
886,NT,Christianity,384
886,NT,Hinduism,4
886,NT,Islam,6
886,NT,Judaism,0
886,NT,Other Religions,17
886,NT,Non/Secular Religious Affiliation,393
2000,NSW,Buddhism,6073
2000,NSW,Christianity,6509
2000,NSW,Hinduism,726
2000,NSW,Islam,427
2000,NSW,Judaism,103
2000,NSW,Other Religions,116
2000,NSW,Non/Secular Religious Affiliation,8824
2006,NSW,Buddhism,8
2006,NSW,Christianity,534
2006,NSW,Hinduism,6
2006,NSW,Islam,5
2006,NSW,Judaism,7
2006,NSW,Other Religions,5
2006,NSW,Non/Secular Religious Affiliation,501
2007,NSW,Buddhism,983
2007,NSW,Christianity,1543
2007,NSW,Hinduism,203
2007,NSW,Islam,214
2007,NSW,Judaism,20
2007,NSW,Other Religions,36
2007,NSW,Non/Secular Religious Affiliation,4451
2008,NSW,Buddhism,999
2008,NSW,Christianity,2126
