SSC,Nil income,"$1-$7,799","$7,800-$15,599","$15,600-$20,799","$20,800-$25,999","$26,000-$33,799","$33,800-$41,599","$41,600-$51,999","$52,000-$64,999","$65,000-$77,999","$78,000-$90,999","$91,000-$103,999","$104,000-$129,999","$130,000-$155,999","$156,000-$181,999","$182,000-$207,999","$208,000-$233,999","$234,000-$259,999","$260,000-$311,999","$312,000-$415,999","$416,000 or more"
Aarons Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbotsbury,14,8,0,4,21,25,57,48,70,78,70,76,150,122,85,65,36,39,46,27,5
Abbotsford (NSW),19,10,5,8,48,22,86,49,83,78,61,79,145,125,96,114,73,80,95,98,6
Abercrombie,5,0,0,0,4,6,14,13,11,16,25,18,39,38,30,19,9,3,8,0,0
Abercrombie River,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdare,10,5,11,11,23,37,84,58,62,53,55,40,66,27,9,6,3,4,0,0,0
Aberdeen (NSW),3,3,4,3,12,28,44,32,46,30,35,41,76,50,26,21,3,10,8,3,0
Aberfoyle,0,0,0,0,0,0,0,4,4,0,0,0,6,7,0,0,0,0,0,0,0
Aberglasslyn,4,0,8,17,35,34,77,77,92,130,94,112,229,195,106,56,33,32,17,11,0
Abermain,3,6,5,9,22,34,67,50,55,62,54,45,65,55,13,13,4,3,4,0,0
Abernethy,0,0,0,0,0,0,3,5,4,5,5,11,14,3,4,0,0,0,3,0,0
Abington (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Gardens,10,3,3,0,8,13,41,30,53,57,55,77,166,130,114,77,54,25,33,9,0
Adaminaby,0,4,0,0,9,4,13,4,0,16,3,8,5,3,3,0,0,0,0,0,0
Adamstown,9,10,11,15,39,40,91,78,127,112,84,92,202,164,115,72,31,32,27,9,3
Adamstown Heights,8,6,4,3,27,29,111,81,110,110,84,95,186,174,147,65,59,31,50,23,4
Adelong,3,0,0,7,16,11,24,18,25,18,20,16,36,12,11,3,0,0,0,0,0
Adjungbilly,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Afterlee,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Agnes Banks,0,0,0,0,3,4,10,14,20,18,13,13,22,27,16,15,5,5,0,6,0
Airds,16,12,19,33,75,73,108,57,52,45,31,18,27,12,8,5,0,0,0,0,0
Akolele,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Albert,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0
Albion Park,15,15,19,27,71,115,254,199,283,290,271,290,541,401,199,114,71,51,28,16,0
