SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Aarons Pass,0,18,0,0,0,0,0
Abbotsbury,165,3447,34,110,0,30,305
Abbotsford (NSW),104,3366,26,33,32,22,1288
Abercrombie,3,805,3,0,0,0,213
Abercrombie River,0,11,0,0,0,0,12
Aberdare,9,1559,12,4,0,8,677
Aberdeen (NSW),15,1499,0,0,0,0,390
Aberfoyle,0,79,0,0,0,0,11
Aberglasslyn,28,3728,41,4,0,13,1285
Abermain,9,1499,6,0,0,5,643
Abernethy,5,192,0,0,0,0,73
Abington (NSW),0,12,0,0,0,0,0
Acacia Creek,0,19,0,0,0,0,19
Acacia Gardens,66,2112,439,204,0,246,528
Adaminaby,0,200,0,0,0,0,89
Adamstown,82,3465,41,20,0,9,2080
Adamstown Heights,60,3258,18,12,0,12,1613
Adelong,4,717,0,0,0,0,155
Adjungbilly,0,61,0,0,0,0,14
Afterlee,0,30,0,0,0,0,13
Agnes Banks,4,654,0,0,0,3,162
Airds,39,1567,5,130,0,10,812
Akolele,4,49,0,0,0,0,67
Albert,0,56,0,0,0,0,11
Albion Park,79,8856,16,47,0,25,3470
Albion Park Rail,39,4426,3,18,0,23,1890
Albury,40,2596,71,22,3,15,1544
Aldavilla,0,500,0,0,0,0,147
Alectown,0,146,0,0,0,0,8
Alexandria,228,2664,56,54,88,45,4180
Alfords Point,31,2373,30,100,3,9,416
Alfredtown,0,66,0,0,0,0,25
Alice,0,3,0,0,0,0,3
Alison (Central Coast - NSW),0,68,0,0,0,0,16
Alison (Dungog - NSW),0,45,0,0,0,0,25
Allambie Heights,102,3965,42,19,12,42,2394
Allandale (NSW),0,43,0,0,0,0,18
Allawah,277,2232,516,365,23,70,1819
Alleena,0,44,0,0,0,0,6
Allgomera,0,68,0,0,0,0,48
Allworth,0,108,0,0,0,0,41
Allynbrook,0,38,0,0,0,0,22
Alma Park,0,43,0,0,0,0,10
Alpine,0,85,0,0,0,0,31
Alstonvale,0,281,0,0,0,0,114
Alstonville,59,3494,9,4,0,14,1700
Alumy Creek,0,67,0,0,0,0,14
Amaroo (NSW),0,32,0,0,0,0,9
Ambarvale,153,4499,106,299,5,51,1579
Amosfield,0,25,0,0,0,0,5
Anabranch North,0,3,0,0,0,0,4
Anabranch South,0,30,0,0,0,0,4
Anambah,0,16,0,0,0,0,9
Ando,0,47,0,0,0,0,13
Anembo,0,32,0,0,0,0,16
Angledale,0,83,0,0,0,0,53
Angledool,0,36,0,0,0,0,7
Anglers Reach,0,42,0,0,0,0,18
Angourie,0,95,0,0,0,0,99
Anna Bay,40,2280,3,0,0,5,1032
Annandale (NSW),191,3653,59,39,70,38,4335
Annangrove,5,1084,0,4,0,14,217
Appin (NSW),7,1779,6,16,4,7,639
Apple Tree Flat,0,19,0,0,0,0,6
Appleby,0,30,0,0,0,0,4
Appletree Flat,0,9,0,0,0,0,6
Apsley (NSW),0,84,0,0,0,0,7
Arable,0,8,0,0,0,0,4
Arakoon,11,235,0,0,0,0,144
Araluen (NSW),0,77,0,0,0,0,59
Aratula (NSW),0,3,0,0,0,0,9
Arcadia (NSW),3,916,0,6,0,0,361
Arcadia Vale,13,849,0,0,0,4,401
Ardglen,0,34,0,0,0,0,6
Arding,0,138,0,0,0,0,58
Ardlethan,7,335,0,0,0,4,83
Argalong,0,23,0,0,0,0,6
Argenton,23,823,6,0,0,9,374
Argents Hill,0,118,0,0,0,0,67
Argoon (NSW),0,12,0,0,0,0,5
Ariah Park,0,387,0,0,0,3,54
Arkell,0,24,0,0,0,0,7
Arkstone,0,26,0,0,0,0,0
Armatree,0,121,0,0,0,0,12
Armidale,290,12815,280,464,10,151,6920
Arncliffe,392,4213,231,2118,8,24,2566
Arndell Park,0,6,0,3,0,0,10
Arrawarra,0,305,0,0,0,0,134
Arrawarra Headland,6,265,0,0,0,0,229
Artarmon,446,3644,664,190,73,63,3547
Arthurville,0,30,0,0,0,4,8
Arumpo,0,22,0,0,0,0,13
Ashbury,49,2216,30,45,3,20,745
Ashby (NSW),7,190,0,0,0,0,95
Ashby Heights,5,105,0,0,0,0,90
Ashby Island,0,0,0,0,0,0,8
Ashcroft,255,1470,67,731,0,85,459
Ashfield (NSW),1608,8611,2680,403,52,178,8037
Ashford (NSW),0,446,0,0,0,6,112
Ashley,0,265,0,0,0,0,69
Ashmont,8,2460,4,27,0,9,948
Ashtonfield,40,3060,58,70,4,27,1072
Asquith,102,1777,149,38,12,18,1026
Atholwood,0,65,0,0,0,3,11
Attunga,0,418,0,0,0,0,101
Auburn (NSW),1991,6596,3291,16053,3,317,5829
Auburn Vale,0,90,0,0,0,0,26
Austinmer,28,1167,3,9,7,14,1087
Austral,40,2022,10,226,0,20,294
Austral Eden,0,114,0,0,0,0,11
Avalon Beach,100,4648,11,22,27,30,4331
Avisford,0,13,0,0,0,0,5
Avoca (NSW),3,131,0,0,0,0,52
Avoca Beach,38,2585,15,6,0,5,1572
Avon (NSW),0,0,0,0,0,0,0
Avondale (NSW),8,1046,0,14,0,3,427
Avonside,0,60,0,0,0,0,48
Awaba,0,237,0,0,0,0,139
Aylmerton,0,130,0,0,0,6,51
Baan Baa,0,98,0,0,0,0,36
Babinda (NSW),0,3,0,0,0,0,0
Babyl Creek,0,6,0,0,0,0,8
Back Creek (Bland - NSW),0,32,0,0,0,0,5
Back Creek (Gwydir - NSW),0,9,0,0,0,0,3
Back Creek (Mid-Coast - NSW),0,20,0,0,0,0,0
Back Creek (Queanbeyan-Palerang Regional - NSW),0,3,0,0,0,0,5
Back Creek (Tenterfield - NSW),0,7,0,0,0,0,0
Back Creek (Tweed - NSW),0,9,0,0,0,0,3
Back Forest,0,47,0,0,0,0,27
Backmede,0,111,0,0,0,0,13
Backwater,0,9,0,0,0,0,0
Badgerys Creek,8,140,0,0,0,0,48
Badja,0,4,0,0,0,0,0
Baerami,0,47,0,0,0,0,9
Baerami Creek,0,21,0,0,0,0,13
Bagnoo,0,33,0,0,0,0,8
Bago,0,19,0,0,0,0,9
Bagotville,0,22,0,0,0,0,18
Bakers Creek (Mid-Coast - NSW),0,26,0,0,0,0,9
Bakers Creek (Nambucca - NSW),0,3,0,0,0,0,4
Bakers Creek (Uralla - NSW),0,11,0,0,0,0,0
Bakers Swamp,0,31,0,0,0,0,3
Balaclava (NSW),0,269,0,3,0,0,142
Balala,0,72,0,0,0,0,33
Balcolyn,5,590,0,0,0,4,296
Bald Blair,0,37,0,0,0,0,11
Bald Hills (NSW),0,149,0,0,0,3,99
Bald Nob,0,13,0,0,0,0,0
Bald Ridge,0,3,0,0,0,0,0
Baldersleigh,0,27,0,0,0,0,18
Baldry,0,83,0,0,0,0,12
Balfours Peak,0,29,0,0,0,0,8
Balgowlah,102,3992,48,28,26,45,3012
Balgowlah Heights,29,1986,5,7,4,0,1114
Balgownie,37,3556,37,120,0,16,1400
Balickera,0,20,0,0,0,0,7
Balladoran,0,85,0,0,0,0,19
Ballalaba,0,18,0,0,0,0,0
Balldale,3,102,0,0,0,0,25
Ballengarra,0,61,0,0,0,0,18
Ballimore,0,135,0,0,0,0,29
Ballina,89,4968,36,11,5,59,2285
Ballyroe,0,4,0,0,0,0,4
Balmain,161,4405,60,52,84,27,4362
Balmain East,24,848,16,12,11,5,786
Balmoral (Lake Macquarie - NSW),4,442,0,0,0,0,241
Balmoral (Wingecarribee - NSW),8,261,0,0,0,3,123
Balranald,5,921,7,5,0,4,260
Bamarang,0,20,0,0,0,0,0
Banda Banda,0,0,0,0,0,0,0
Bandon Grove,0,75,0,0,0,0,26
Bangadang,0,11,0,0,0,0,0
Bangalee (NSW),5,418,9,0,0,3,192
Bangalow,36,722,8,0,7,33,1002
