SSC,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over
Aarons Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbotsbury,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,10,6,31,32,7,0,0,0
Abbotsford (NSW),14,9,5,66,14,36,14,19,5,8,4,6,4,11,4,21,8,168,150,110,44,22,36
Abercrombie,0,0,0,0,0,0,0,0,3,0,0,5,4,8,8,9,4,3,0,0,0,0,0
Abercrombie River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdare,7,3,4,6,0,8,13,24,26,86,54,57,18,8,5,0,0,0,0,0,0,0,0
Aberdeen (NSW),7,8,0,8,8,32,10,30,11,36,17,22,7,8,0,0,0,0,0,0,0,0,0
Aberfoyle,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberglasslyn,4,0,0,0,4,3,5,6,0,16,11,46,65,128,131,156,12,20,0,0,0,0,0
Abermain,8,0,0,6,0,3,9,13,6,33,26,30,5,6,7,0,0,0,0,0,0,0,5
Abernethy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abington (NSW),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Gardens,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,12,11,73,59,9,0,0,0
Adaminaby,4,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamstown,17,13,5,42,18,16,18,35,22,66,63,125,61,82,63,69,34,128,19,11,3,0,0
Adamstown Heights,10,0,0,4,0,7,4,13,0,10,8,19,11,31,27,38,15,56,20,6,0,0,0
Adelong,5,0,0,12,4,7,8,11,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
Adjungbilly,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afterlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Banks,0,0,0,0,0,4,0,0,0,0,6,3,0,0,3,5,0,9,3,0,7,0,0
Airds,4,19,32,156,66,104,64,72,37,30,20,41,23,81,32,17,0,4,0,0,0,0,0
Akolele,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park,15,3,3,30,6,16,9,29,9,16,14,44,28,83,76,95,39,169,22,0,0,0,0
Albion Park Rail,15,3,8,42,12,33,24,34,18,37,21,57,38,72,56,72,27,39,9,0,0,0,0
Albury,21,7,16,62,48,66,47,72,59,85,36,66,36,24,20,35,6,40,5,0,0,0,0
Aldavilla,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Alectown,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,15,9,11,21,3,19,0,11,8,21,11,23,17,26,15,42,27,426,493,276,135,91,101
Alfords Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,6,10,5
Alfredtown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alison (Central Coast - NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alison (Dungog - NSW),0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allambie Heights,13,5,61,3,5,22,11,16,0,5,0,6,0,11,10,6,0,31,23,30,41,35,39
Allandale (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allawah,21,3,4,7,0,6,4,13,6,8,3,29,13,42,73,166,93,328,74,9,0,0,3
Alleena,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allgomera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allynbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Alma Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstonvale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Alstonville,22,4,3,17,10,24,15,31,17,43,51,56,43,44,51,46,17,24,6,0,0,0,3
Alumy Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaroo (NSW),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambarvale,10,9,11,59,51,64,43,43,13,29,41,91,50,132,89,115,24,43,7,3,0,0,0
Amosfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabranch North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabranch South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anambah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ando,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anembo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angledale,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Angledool,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anglers Reach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Angourie,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,3,0,3,0,0,0,0,0
Anna Bay,15,0,4,5,0,3,3,21,4,23,10,29,33,47,28,36,10,31,6,3,0,0,0
Annandale (NSW),35,7,11,32,8,21,14,25,29,29,47,55,43,73,57,56,29,196,185,199,139,90,144
Annangrove,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,0,0,5,8
Appin (NSW),3,0,0,0,0,3,3,5,0,6,4,10,0,0,3,8,5,31,17,0,0,0,0
Apple Tree Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appleby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appletree Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apsley (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arable,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arakoon,3,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,3,0,0,0,0,0
Araluen (NSW),0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aratula (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcadia (NSW),3,0,0,0,0,0,0,5,0,0,0,6,0,3,0,0,0,3,3,3,3,4,4
Arcadia Vale,3,0,0,0,0,6,0,0,4,6,6,15,3,11,11,8,5,0,0,0,0,0,0
Ardglen,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arding,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardlethan,12,3,7,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argalong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argenton,3,3,0,18,5,21,10,9,0,16,9,23,17,17,14,3,0,0,0,0,0,0,0
Argents Hill,9,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Argoon (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariah Park,6,3,0,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatree,3,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
