,SSC,variable,value
1,Norfolk Island,Norfolk Island,380
2,Abbotsford (NSW),New Zealand,76
3,Aberdare,New Zealand,12
4,Aberdeen (NSW),New Zealand,21
5,Aberglasslyn,New Zealand,77
6,Abermain,New Zealand,16
7,Acacia Gardens,New Zealand,64
8,Adamstown,New Zealand,58
9,Adamstown Heights,New Zealand,55
10,Adelong,New Zealand,12
11,Airds,New Zealand,84
12,Akolele,New Zealand,4
13,Albion Park,New Zealand,100
14,Albion Park Rail,New Zealand,60
15,Albury,New Zealand,53
16,Aldavilla,New Zealand,14
17,Alexandria,New Zealand,306
18,Allambie Heights,New Zealand,149
19,Allgomera,New Zealand,3
20,Alpine,New Zealand,7
21,Alstonville,New Zealand,94
22,Ambarvale,New Zealand,200
23,Anglers Reach,New Zealand,3
24,Angourie,New Zealand,3
25,Anna Bay,New Zealand,54
26,Annandale (NSW),New Zealand,239
27,Annangrove,New Zealand,16
28,Appin (NSW),New Zealand,18
29,Arakoon,New Zealand,4
30,Araluen (NSW),New Zealand,3
31,Arcadia (NSW),New Zealand,22
32,Arcadia Vale,New Zealand,17
33,Ardlethan,New Zealand,4
34,Argenton,New Zealand,9
35,Argents Hill,New Zealand,4
36,Armatree,New Zealand,5
37,Armidale,New Zealand,253
38,Arncliffe,New Zealand,176
39,Arndell Park,New Zealand,5
40,Arrawarra,New Zealand,16
41,Arrawarra Headland,New Zealand,7
42,Ashby (NSW),New Zealand,5
43,Ashby Heights,New Zealand,10
44,Ashcroft,New Zealand,87
45,Ashley,New Zealand,3
46,Ashmont,New Zealand,25
47,Ashtonfield,New Zealand,58
48,Asquith,New Zealand,64
49,Austinmer,New Zealand,39
50,Avalon Beach,New Zealand,192
51,Avoca Beach,New Zealand,72
52,Avondale (NSW),New Zealand,17
53,Avonside,New Zealand,3
54,Awaba,New Zealand,5
55,Aylmerton,New Zealand,4
56,Backmede,New Zealand,4
57,Balaclava (NSW),New Zealand,5
58,Balala,New Zealand,3
59,Balcolyn,New Zealand,18
60,Balfours Peak,New Zealand,5
61,Balgowlah,New Zealand,237
62,Balgowlah Heights,New Zealand,83
63,Balgownie,New Zealand,42
64,Ballina,New Zealand,137
65,Balmain,New Zealand,340
66,Balmain East,New Zealand,61
67,Balmoral (Lake Macquarie - NSW),New Zealand,9
68,Balmoral (Wingecarribee - NSW),New Zealand,3
