,SSC,variable,value,sortOrder
1,Argents Hill,Nil-income,3,0
2,Barangaroo,Nil-income,3,0
3,Barmedman,Nil-income,5,0
4,Blaxlands Ridge,Nil-income,4,0
5,Bodalla,Nil-income,6,0
6,Box Hill (NSW),Nil-income,12,0
7,Bundarra,Nil-income,6,0
8,Bungonia,Nil-income,4,0
9,Burwood (NSW),Nil-income,176,0
10,Calga,Nil-income,3,0
11,Chatswood,Nil-income,298,0
12,Chippendale,Nil-income,109,0
13,Deepwater (NSW),Nil-income,4,0
14,Denhams Beach,Nil-income,4,0
15,East Killara,Nil-income,34,0
16,Elsmore,Nil-income,6,0
17,Emmaville,Nil-income,4,0
18,Erina Heights,Nil-income,5,0
19,Fiddletown,Nil-income,4,0
20,Fitzroy Falls,Nil-income,4,0
21,Foxground,Nil-income,4,0
22,Gladstone (NSW),Nil-income,5,0
23,Glen Oak,Nil-income,4,0
24,Greenwich Park,Nil-income,6,0
25,Hastings Point,Nil-income,3,0
26,Haymarket,Nil-income,56,0
27,Hurstville,Nil-income,395,0
28,Jackadgery,Nil-income,3,0
29,Jesmond,Nil-income,16,0
30,Kingsford (NSW),Nil-income,127,0
31,Kundabung,Nil-income,8,0
32,Lake Tabourie,Nil-income,8,0
33,Linden (NSW),Nil-income,6,0
34,Merungle Hill,Nil-income,3,0
35,Missabotti,Nil-income,3,0
36,Mooball,Nil-income,3,0
37,Old Erowal Bay,Nil-income,9,0
38,Pampoolah,Nil-income,7,0
39,Ravenswood (NSW),Nil-income,4,0
40,Rhodes,Nil-income,202,0
41,Shellharbour City Centre,Nil-income,3,0
42,Smithtown,Nil-income,5,0
43,Swanhaven,Nil-income,4,0
44,The Whiteman,Nil-income,3,0
45,Ultimo,Nil-income,62,0
46,Upper Horseshoe Creek,Nil-income,4,0
47,Wakool,Nil-income,3,0
48,Wallabadah,Nil-income,3,0
49,Warialda Rail,Nil-income,3,0
50,Warrell Creek,Nil-income,6,0
51,Weethalle,Nil-income,3,0
52,Wingen,Nil-income,3,0
53,Yallaroi,Nil-income,4,0
54,Yanco,Nil-income,3,0
55,Yarrie Lake,Nil-income,5,0
56,Yeoval,Nil-income,3,0
57,Zetland,Nil-income,134,0
58,Alma (Vic.),Nil-income,3,0
59,Axe Creek,Nil-income,3,0
60,Axedale,Nil-income,7,0
61,Bamawm,Nil-income,5,0
62,Barmah,Nil-income,3,0
63,Berringa,Nil-income,3,0
64,Boort,Nil-income,7,0
65,Box Hill (Vic.),Nil-income,179,0
66,Cann River,Nil-income,3,0
67,Carlton (Vic.),Nil-income,244,0
68,Chewton,Nil-income,6,0
69,Childers (Vic.),Nil-income,5,0
70,Clayton,Nil-income,158,0
71,Cudgewa,Nil-income,3,0
72,Daisy Hill (Vic.),Nil-income,4,0
73,Darnum,Nil-income,5,0
74,Dingee,Nil-income,3,0
75,Docklands,Nil-income,114,0
76,Drouin South,Nil-income,5,0
