SSC,population
Aarons Pass,20
Abbotsbury,4251
Abbotsford (NSW),5377
Abercrombie,1111
Abercrombie River,23
Aberdare,2471
Aberdeen (NSW),2088
Aberfoyle,101
Aberglasslyn,5403
Abermain,2336
Abernethy,345
Abington (NSW),15
Acacia Creek,37
Acacia Gardens,3799
Adaminaby,305
Adamstown,6046
Adamstown Heights,5295
Adelong,944
Adjungbilly,86
Afterlee,47
Agnes Banks,911
Airds,2927
Akolele,168
Albert,82
Albion Park,13319
Albion Park Rail,6918
Albury,4802
Aldavilla,1226
Alectown,170
Alexandria,8264
Alfords Point,3112
Alfredtown,109
Alice,6
Alison (Central Coast - NSW),95
Alison (Dungog - NSW),78
Allambie Heights,7006
Allandale (NSW),74
Allawah,5710
Alleena,56
Allgomera,132
Allworth,168
Allynbrook,67
Alma Park,55
Alpine,141
Alstonvale,441
Alstonville,5738
Alumy Creek,90
Amaroo (NSW),49
Ambarvale,7378
Amosfield,35
Anabranch North,5
Anabranch South,36
Anambah,36
Ando,69
Anembo,67
Angledale,152
Angledool,55
Anglers Reach,90
Angourie,219
Anna Bay,3844
Annandale (NSW),9452
Annangrove,1399
Appin (NSW),2633
Apple Tree Flat,37
Appleby,39
Appletree Flat,13
Apsley (NSW),108
Arable,13
Arakoon,419
Araluen (NSW),168
Aratula (NSW),9
Arcadia (NSW),1384
Arcadia Vale,1375
Ardglen,60
Arding,206
Ardlethan,517
Argalong,31
Argenton,1347
Argents Hill,219
Argoon (NSW),17
Ariah Park,492
Arkell,45
Arkstone,22
Armatree,152
Armidale,23348
Arncliffe,10590
Arndell Park,32
Arrawarra,521
Arrawarra Headland,553
Artarmon,9525
Arthurville,37
Arumpo,33
Ashbury,3326
Ashby (NSW),329
Ashby Heights,229
Ashby Island,16
Ashcroft,3581
Ashfield (NSW),23839
Ashford (NSW),647
Ashley,364
Ashmont,3830
Ashtonfield,4647
Asquith,3378
Atholwood,81
Attunga,573
Auburn (NSW),37370
Auburn Vale,124
Austinmer,2560
Austral,3022
Austral Eden,146
Avalon Beach,9908
Avisford,27
Avoca (NSW),202
Avoca Beach,4585
Avon (NSW),0
Avondale (NSW),1654
Avonside,122
Awaba,400
Aylmerton,187
Baan Baa,163
Babinda (NSW),3
Babyl Creek,6
Back Creek (Bland - NSW),51
Back Creek (Gwydir - NSW),12
Back Creek (Mid-Coast - NSW),17
Back Creek (Queanbeyan-Palerang Regional - NSW),12
