"","SSC","variable","value"
"1","Aarons Pass","Buddhism",0
"2","Abbotsbury","Buddhism",165
"3","Abbotsford (NSW)","Buddhism",104
"4","Abercrombie","Buddhism",3
"5","Abercrombie River","Buddhism",0
"6","Aberdare","Buddhism",9
"7","Aberdeen (NSW)","Buddhism",15
"8","Aberfoyle","Buddhism",0
"9","Aberglasslyn","Buddhism",28
"10","Abermain","Buddhism",9
"11","Abernethy","Buddhism",5
"12","Abington (NSW)","Buddhism",0
"13","Acacia Creek","Buddhism",0
"14","Adaminaby","Buddhism",0
"15","Adamstown","Buddhism",82
"16","Adamstown Heights","Buddhism",60
"17","Adelong","Buddhism",4
"18","Adjungbilly","Buddhism",0
"19","Afterlee","Buddhism",0
"20","Agnes Banks","Buddhism",4
"21","Airds","Buddhism",39
"22","Akolele","Buddhism",4
"23","Albert","Buddhism",0
"24","Albion Park","Buddhism",79
"25","Albion Park Rail","Buddhism",39
"26","Albury","Buddhism",40
"27","Aldavilla","Buddhism",0
"28","Alectown","Buddhism",0
"29","Alexandria","Buddhism",228
"30","Alfords Point","Buddhism",31
"31","Alfredtown","Buddhism",0
"32","Alice","Buddhism",0
"33","Alison (Central Coast - NSW)","Buddhism",0
"34","Alison (Dungog - NSW)","Buddhism",0
"35","Allambie Heights","Buddhism",102
"36","Allandale (NSW)","Buddhism",0
"37","Allawah","Buddhism",277
"38","Alleena","Buddhism",0
"39","Allgomera","Buddhism",0
"40","Allworth","Buddhism",0
"41","Allynbrook","Buddhism",0
"42","Alma Park","Buddhism",0
"43","Alpine","Buddhism",0
"44","Alstonvale","Buddhism",0
"45","Alstonville","Buddhism",59
"46","Alumy Creek","Buddhism",0
"47","Amaroo (NSW)","Buddhism",0
"48","Ambarvale","Buddhism",153
"49","Amosfield","Buddhism",0
"50","Anabranch North","Buddhism",0
"51","Anabranch South","Buddhism",0
"52","Anambah","Buddhism",0
"53","Ando","Buddhism",0
"54","Anembo","Buddhism",0
"55","Angledale","Buddhism",0
"56","Angledool","Buddhism",0
"57","Anglers Reach","Buddhism",0
"58","Angourie","Buddhism",0
"59","Anna Bay","Buddhism",40
"60","Annandale (NSW)","Buddhism",191
"61","Annangrove","Buddhism",5
"62","Appin (NSW)","Buddhism",7
"63","Apple Tree Flat","Buddhism",0
"64","Appleby","Buddhism",0
"65","Appletree Flat","Buddhism",0
"66","Apsley (NSW)","Buddhism",0
"67","Arable","Buddhism",0
"68","Arakoon","Buddhism",11
"69","Araluen (NSW)","Buddhism",0
"70","Aratula (NSW)","Buddhism",0
"71","Arcadia (NSW)","Buddhism",3
"72","Arcadia Vale","Buddhism",13
"73","Ardglen","Buddhism",0
"74","Arding","Buddhism",0
"75","Ardlethan","Buddhism",7
"76","Argalong","Buddhism",0
"77","Argenton","Buddhism",23
"78","Argents Hill","Buddhism",0
"79","Argoon (NSW)","Buddhism",0
"80","Ariah Park","Buddhism",0
"81","Arkell","Buddhism",0
"82","Arkstone","Buddhism",0
"83","Armatree","Buddhism",0
"84","Armidale","Buddhism",290
"85","Arncliffe","Buddhism",392
"86","Arndell Park","Buddhism",0
"87","Arrawarra","Buddhism",0
"88","Arrawarra Headland","Buddhism",6
"89","Artarmon","Buddhism",446
"90","Arthurville","Buddhism",0
"91","Arumpo","Buddhism",0
"92","Ashbury","Buddhism",49
"93","Ashby (NSW)","Buddhism",7
"94","Ashby Heights","Buddhism",5
"95","Ashby Island","Buddhism",0
"96","Ashcroft","Buddhism",255
"97","Ashfield (NSW)","Buddhism",1608
"98","Ashford (NSW)","Buddhism",0
"99","Ashley","Buddhism",0
"100","Ashmont","Buddhism",8
"101","Ashtonfield","Buddhism",40
"102","Asquith","Buddhism",102
"103","Atholwood","Buddhism",0
"104","Attunga","Buddhism",0
"105","Auburn (NSW)","Buddhism",1991
"106","Auburn Vale","Buddhism",0
"107","Austinmer","Buddhism",28
"108","Austral","Buddhism",40
"109","Austral Eden","Buddhism",0
"110","Avalon Beach","Buddhism",100
"111","Avisford","Buddhism",0
"112","Avoca (NSW)","Buddhism",3
"113","Avoca Beach","Buddhism",38
"114","Avon (NSW)","Buddhism",0
"115","Avondale (NSW)","Buddhism",8
"116","Avonside","Buddhism",0
"117","Awaba","Buddhism",0
"118","Aylmerton","Buddhism",0
"119","Baan Baa","Buddhism",0
"120","Babinda (NSW)","Buddhism",0
"121","Babyl Creek","Buddhism",0
"122","Back Creek (Bland - NSW)","Buddhism",0
"123","Back Creek (Gwydir - NSW)","Buddhism",0
"124","Back Creek (Mid-Coast - NSW)","Buddhism",0
