,SSC,variable,value,sortOrder
1,Abbotsford (NSW),Nil-Payments,14,1
2,Aberdare,Nil-Payments,7,1
3,Aberdeen (NSW),Nil-Payments,7,1
4,Aberfoyle,Nil-Payments,5,1
5,Aberglasslyn,Nil-Payments,4,1
6,Abermain,Nil-Payments,8,1
7,Abington (NSW),Nil-Payments,4,1
8,Adaminaby,Nil-Payments,4,1
9,Adamstown,Nil-Payments,17,1
10,Adamstown Heights,Nil-Payments,10,1
11,Adelong,Nil-Payments,5,1
12,Adjungbilly,Nil-Payments,3,1
13,Airds,Nil-Payments,4,1
14,Albert,Nil-Payments,5,1
15,Albion Park,Nil-Payments,15,1
16,Albion Park Rail,Nil-Payments,15,1
17,Albury,Nil-Payments,21,1
18,Alectown,Nil-Payments,3,1
19,Alexandria,Nil-Payments,15,1
20,Alfredtown,Nil-Payments,3,1
21,Allambie Heights,Nil-Payments,13,1
22,Allawah,Nil-Payments,21,1
23,Alleena,Nil-Payments,3,1
24,Alstonvale,Nil-Payments,4,1
25,Alstonville,Nil-Payments,22,1
26,Amaroo (NSW),Nil-Payments,4,1
27,Ambarvale,Nil-Payments,10,1
28,Angledool,Nil-Payments,3,1
29,Anna Bay,Nil-Payments,15,1
30,Annandale (NSW),Nil-Payments,35,1
31,Annangrove,Nil-Payments,3,1
32,Appin (NSW),Nil-Payments,3,1
33,Arakoon,Nil-Payments,3,1
34,Arcadia (NSW),Nil-Payments,3,1
35,Arcadia Vale,Nil-Payments,3,1
36,Ardglen,Nil-Payments,4,1
37,Arding,Nil-Payments,7,1
38,Ardlethan,Nil-Payments,12,1
39,Argenton,Nil-Payments,3,1
40,Argents Hill,Nil-Payments,9,1
41,Ariah Park,Nil-Payments,6,1
42,Armatree,Nil-Payments,3,1
43,Armidale,Nil-Payments,87,1
44,Arncliffe,Nil-Payments,31,1
45,Artarmon,Nil-Payments,32,1
46,Arumpo,Nil-Payments,4,1
47,Ashbury,Nil-Payments,8,1
48,Ashcroft,Nil-Payments,16,1
49,Ashfield (NSW),Nil-Payments,89,1
50,Ashford (NSW),Nil-Payments,6,1
51,Ashley,Nil-Payments,5,1
52,Ashmont,Nil-Payments,4,1
53,Ashtonfield,Nil-Payments,9,1
54,Asquith,Nil-Payments,8,1
55,Atholwood,Nil-Payments,3,1
56,Auburn (NSW),Nil-Payments,113,1
57,Austinmer,Nil-Payments,10,1
58,Austral,Nil-Payments,28,1
59,Avalon Beach,Nil-Payments,18,1
60,Avoca (NSW),Nil-Payments,3,1
61,Avoca Beach,Nil-Payments,23,1
62,Avondale (NSW),Nil-Payments,7,1
63,Avonside,Nil-Payments,3,1
64,Baan Baa,Nil-Payments,6,1
