"","V1","SSC","variable","value"
"1","2","Abbotsbury","Train",70
"2","9","Aberglasslyn","Train",14
"3","14","Acacia Gardens","Train",122
"4","16","Adamstown","Train",21
"5","17","Adamstown Heights","Train",17
"6","21","Agnes Banks","Train",10
"7","22","Airds","Train",20
"8","25","Albion Park","Train",58
"9","26","Albion Park Rail","Train",58
"10","30","Alexandria","Train",1531
"11","31","Alfords Point","Train",107
"12","38","Allawah","Train",999
"13","49","Ambarvale","Train",161
"14","61","Annandale (NSW)","Train",139
"15","62","Annangrove","Train",5
"16","63","Appin (NSW)","Train",30
"17","72","Arcadia (NSW)","Train",10
"18","73","Arcadia Vale","Train",8
"19","86","Arncliffe","Train",1421
"20","90","Artarmon","Train",2048
"21","93","Ashbury","Train",197
"22","97","Ashcroft","Train",37
"23","98","Ashfield (NSW)","Train",4125
"24","102","Ashtonfield","Train",6
"25","103","Asquith","Train",399
"26","106","Auburn (NSW)","Train",3242
"27","108","Austinmer","Train",122
"28","109","Austral","Train",46
"29","114","Avoca Beach","Train",49
"30","116","Avondale (NSW)","Train",11
"31","132","Badgerys Creek","Train",3
"32","145","Balcolyn","Train",6
"33","155","Balgownie","Train",46
"34","166","Balmoral (Lake Macquarie - NSW)","Train",4
"35","177","Bangor (NSW)","Train",172
"36","178","Banksia","Train",379
"37","180","Bankstown","Train",1666
"38","187","Bar Beach","Train",9
"39","191","Barangaroo","Train",3
"40","193","Barden Ridge","Train",108
"41","194","Bardia","Train",121
"42","195","Bardwell Park","Train",275
"43","196","Bardwell Valley","Train",161
"44","198","Bargo","Train",23
"45","207","Barrack Heights","Train",25
"46","224","Bass Hill","Train",178
"47","227","Bateau Bay","Train",52
"48","231","Bathurst","Train",7
"49","232","Batlow","Train",3
"50","233","Baulkham Hills","Train",201
"51","239","Beaconsfield (NSW)","Train",168
"52","243","Beaumont Hills","Train",54
"53","249","Beecroft","Train",793
"54","257","Belfield","Train",226
"55","263","Bella Vista","Train",120
"56","264","Bellambi","Train",56
"57","271","Bellevue Hill","Train",449
"58","279","Belmore","Train",913
"59","297","Bensville","Train",53
"60","299","Berala","Train",858
"61","301","Beresfield","Train",19
"62","303","Berkeley","Train",51
"63","304","Berkeley Vale","Train",71
"64","305","Berkshire Park","Train",9
"65","308","Berowra","Train",430
"66","310","Berowra Heights","Train",260
"67","319","Berrilee","Train",3
"68","320","Berrima","Train",5
"69","322","Berry","Train",6
"70","330","Beverley Park","Train",118
"71","331","Beverly Hills","Train",1031
"72","334","Bexley","Train",1268
"73","335","Bexley North","Train",372
"74","340","Bidwill (NSW)","Train",22
"75","377","Birmingham Gardens","Train",9
"76","379","Birrong","Train",228
"77","390","Blackalls Park","Train",16
"78","391","Blackbutt (NSW)","Train",16
"79","392","Blackett","Train",45
"80","393","Blackheath","Train",101
"81","397","Blacktown","Train",2362
"82","399","Blackwall (NSW)","Train",65
"83","400","Blair Athol (NSW)","Train",200
"84","401","Blairmount","Train",15
"85","403","Blakehurst","Train",189
"86","407","Blaxland (NSW)","Train",323
"87","409","Blaxlands Ridge","Train",4
"88","411","Bligh Park","Train",83
"89","414","Blue Bay","Train",8
"90","415","Blue Haven","Train",39
"91","449","Bolton Point","Train",8
"92","450","Bolwarra (NSW)","Train",4
"93","453","Bomaderry","Train",16
"94","464","Bondi","Train",637
"95","465","Bondi Beach","Train",211
"96","467","Bondi Junction","Train",1684
"97","468","Bonnells Bay","Train",16
"98","469","Bonnet Bay","Train",166
"99","471","Bonnyrigg","Train",141
"100","472","Bonnyrigg Heights","Train",125
"101","474","Bonville","Train",4
"102","477","Booker Bay","Train",35
"103","515","Bossley Park","Train",173
"104","517","Botany","Train",59
"105","526","Bow Bowing","Train",95
"106","528","Bowen Mountain","Train",14
"107","536","Bowral","Train",73
"108","539","Box Hill (NSW)","Train",10
"109","543","Bradbury (NSW)","Train",211
"110","557","Breakfast Point","Train",97
"111","569","Brighton-le-Sands","Train",271
"112","570","Brightwaters","Train",13
"113","575","Bringelly","Train",34
"114","578","Broadmeadow","Train",13
"115","594","Bronte","Train",143
"116","599","Brooklyn (NSW)","Train",49
